subject_13, Epoch 8, Test Accuracy: 66.67%
subject_13, Epoch 9, Test Accuracy: 67.50%
subject_13, Epoch 10, Test Accuracy: 69.17%
subject_13, Epoch 11, Test Accuracy: 67.50%
subject_13, Epoch 12, Test Accuracy: 67.50%
subject_13, Epoch 13, Test Accuracy: 69.17%
subject_13, Epoch 14, Test Accuracy: 67.50%
subject_13, Epoch 15, Test Accuracy: 70.00%
subject_14, Epoch 1, Test Accuracy: 25.00%
subject_14, Epoch 2, Test Accuracy: 42.50%
subject_14, Epoch 3, Test Accuracy: 35.83%
subject_14, Epoch 4, Test Accuracy: 42.50%
subject_14, Epoch 5, Test Accuracy: 52.50%
subject_14, Epoch 6, Test Accuracy: 45.00%
subject_14, Epoch 7, Test Accuracy: 38.33%
subject_14, Epoch 8, Test Accuracy: 46.67%
subject_14, Epoch 9, Test Accuracy: 40.00%
subject_14, Epoch 10, Test Accuracy: 45.00%
subject_14, Epoch 1, Test Accuracy: 61.67%
subject_14, Epoch 2, Test Accuracy: 55.83%
subject_14, Epoch 3, Test Accuracy: 48.33%
subject_14, Epoch 4, Test Accuracy: 55.83%
subject_14, Epoch 5, Test Accuracy: 52.50%
subject_14, Epoch 6, Test Accuracy: 53.33%
subject_14, Epoch 7, Test Accuracy: 54.17%
subject_14, Epoch 8, Test Accuracy: 52.50%
subject_14, Epoch 9, Test Accuracy: 52.50%
subject_14, Epoch 10, Test Accuracy: 53.33%
subject_14, Epoch 11, Test Accuracy: 54.17%
subject_14, Epoch 12, Test Accuracy: 51.67%
subject_14, Epoch 13, Test Accuracy: 51.67%
subject_14, Epoch 14, Test Accuracy: 50.83%
subject_14, Epoch 15, Test Accuracy: 53.33%
subject_15, Epoch 1, Test Accuracy: 42.50%
subject_15, Epoch 2, Test Accuracy: 57.50%
subject_15, Epoch 3, Test Accuracy: 58.33%
subject_15, Epoch 4, Test Accuracy: 53.33%
subject_15, Epoch 5, Test Accuracy: 54.17%
subject_15, Epoch 6, Test Accuracy: 55.83%
subject_15, Epoch 7, Test Accuracy: 54.17%
subject_15, Epoch 8, Test Accuracy: 54.17%
subject_15, Epoch 9, Test Accuracy: 59.17%
subject_15, Epoch 10, Test Accuracy: 60.83%
subject_15, Epoch 1, Test Accuracy: 53.33%
subject_15, Epoch 2, Test Accuracy: 56.67%
subject_15, Epoch 3, Test Accuracy: 60.83%
subject_15, Epoch 4, Test Accuracy: 60.00%
subject_15, Epoch 5, Test Accuracy: 63.33%
subject_15, Epoch 6, Test Accuracy: 67.50%
subject_15, Epoch 7, Test Accuracy: 65.00%
subject_15, Epoch 8, Test Accuracy: 64.17%
subject_15, Epoch 9, Test Accuracy: 65.00%
subject_15, Epoch 10, Test Accuracy: 65.83%
subject_15, Epoch 11, Test Accuracy: 65.83%
subject_15, Epoch 12, Test Accuracy: 65.00%
subject_15, Epoch 13, Test Accuracy: 65.83%
subject_15, Epoch 14, Test Accuracy: 67.50%
subject_15, Epoch 15, Test Accuracy: 67.50%
subject_16, Epoch 1, Test Accuracy: 26.67%
subject_16, Epoch 2, Test Accuracy: 32.50%
subject_16, Epoch 3, Test Accuracy: 34.17%
subject_16, Epoch 4, Test Accuracy: 45.00%
subject_16, Epoch 5, Test Accuracy: 49.17%
subject_16, Epoch 6, Test Accuracy: 48.33%
